source,title,url,published_date,target_family_queried,local_llm_predicted_family,retrieved_at
guardian,"England v Pakistan: third men’s cricket Test, day three – as it happened",https://www.theguardian.com/sport/live/2026/sep/11/england-v-pakistan-third-cricket-test-day-three-live,2026-09-11,logistics_transport,not_relevant,2026-09-11T22:11:20.293524+00:00
newsapi,Panama Canal Scraps Planned October Draft Cut—for Now,https://gcaptain.com/panama-canal-scraps-planned-october-draft-cut-for-now/,2026-09-05,logistics_transport,logistics_transport,2026-09-11T22:11:20.915526+00:00
newsapi,Panama Canal Slashes Daily Ship Transits as El Niño Threatens Water Levels,http://wwd.com/sourcing-journal/logistics/panama-canal-slashes-daily-transits-el-nino-water-levels-draft-restrictions-1239146256/,2026-08-21,logistics_transport,logistics_transport,2026-09-11T22:11:21.576032+00:00
tavily,Red Sea crisis - Wikipedia,https://en.wikipedia.org/wiki/Red_Sea_crisis,,conflict_security,conflict_security,2026-09-11T22:11:22.296074+00:00
tavily,Deadly attack on Red Sea ship adds to global supply chain ...,https://news.un.org/en/story/2026/08/1168121,,conflict_security,conflict_security,2026-09-11T22:11:23.017233+00:00
tavily,Houthis say US ship hit in Gulf of Aden attack｜Arab News Japan,https://www.arabnews.jp/en/middle-east/article_113112,,conflict_security,conflict_security,2026-09-11T22:11:23.597745+00:00
guardian,California petition worker arrested for allegedly paying people to forge voter signs,https://www.theguardian.com/us-news/2026/sep/11/california-petition-worker-arrested-identity-fraud,2026-09-11,conflict_security,not_relevant,2026-09-11T22:11:24.000778+00:00
guardian,US Open tennis 2026 men’s semi-final: Alexander Zverev v Karen Khachanov – live,https://www.theguardian.com/sport/live/2026/sep/11/us-open-tennis-2026-mens-semi-final-alexander-zverev-v-karen-khachanov-live,2026-09-11,conflict_security,not_relevant,2026-09-11T22:11:24.390457+00:00
newsapi,The Bab el-Mandeb Problem,http://foreignpolicy.com/2026/09/10/houthis-yemen-mokha-port-red-sea-bab-el-mandeb-iran-saudi-arabia-strait-hormuz/,2026-09-10,conflict_security,conflict_security,2026-09-11T22:11:25.190586+00:00
newsapi,Iran-backed terror group’s latest territorial grab threatens second global shipping chokepoint,https://www.foxnews.com/world/iran-backed-terror-groups-latest-territorial-grab-threatens-second-global-shipping-chokepoint,2026-09-10,conflict_security,conflict_security,2026-09-11T22:11:25.830326+00:00
newsapi,Who is fighting in Yemen? Key factions battling for control of the country,https://economictimes.indiatimes.com/news/defence/who-is-fighting-in-yemen-key-factions-battling-for-control-of-the-country/articleshow/134002722.cms,2026-09-10,conflict_security,conflict_security,2026-09-11T22:11:26.274963+00:00
gnews,Houthis claim attack on Saudi military cargo ship in Bab el,https://www.cnbctv18.com/world/houthis-claim-attack-on-saudi-military-cargo-ship-in-bab-el-mandeb-19967276.htm,2026-08-12,conflict_security,conflict_security,2026-09-11T22:11:26.660361+00:00
newsdata,Netanyahu Signals 'Strong Blows' against Iran's Proxies as Concern Mounts over Houthi Advances,https://www1.cbn.com/cbnnews/israel/2026/september/netanyahu-signals-strong-blows-against-irans-proxies-as-concern-mounts-over-tehran-weapons-rebuild-houthi-advances,2026-09-11,conflict_security,conflict_security,2026-09-11T22:11:27.344645+00:00
newsdata,Netanyahu Signals 'Heavy Blows' Against Iran's Proxies as Concern Mounts over Houthi Advances,https://www1.cbn.com/cbnnews/israel/2026/september/netanyahu-signals-heavy-blows-against-irans-proxies-as-concern-mounts-over-houthi-advances,2026-09-11,conflict_security,conflict_security,2026-09-11T22:11:28.022757+00:00
newsdata,Saudi Arabia strikes Mocha airport in Yemen as Houthis advance on Bab el-Mandeb,https://www.moneycontrol.com/world/saudi-arabia-strikes-mocha-airport-in-yemen-as-houthis-advance-on-bab-el-mandeb-article-14027940.html,2026-09-11,conflict_security,conflict_security,2026-09-11T22:11:28.574966+00:00
