codigo;fac_tcorr;fact_tsig;emp_tsig;emp_tcorr;pi_tcorr;pi_tsig;po_tcorr;po_tsig;c_dem;c_fin;c_cob;c_sum;fac_dif19;emp_dif19;m1_telet;m1_vonline;m1_erte;m1_despido;m1_sal;m1_rinv;m1_ico;m1_ocred;m1_aptrib;m1_alq;n8;gempleo;peso;rama12;ola;trim;m_recerte;m_solerte;m_ajus;m_cierre;m_telet;m_canales;m_mercad;m_tecno;m_rinv;m_capit;m_ico;m_ngeu;m_ayud;pi_1year;po_1year;cl_1year;dur_dsum;impguerra_inputen;impguerra_inputnen;impguerra_sum;impguerra_di;impguerra_dn;impguerra_inv;c_disp;c_comp;c_inccovid;c_incpol;c_energ;calidad_2020;peco_2020;fiab_2020;tamest_2020;tamrec_2020;anyconst_2020;pcost_2020;gva_output_2020;gop_output_2020;r1_2020;r2_2020;r3_2020;r4_2020;e1_2020;e2_2020;int_burden_2020;apps_2020;accp_2020;fixemp_2020;intang_2020;liquid_2020;calidad_2019;peco_2019;fiab_2019;tamest_2019;tamrec_2019;anyconst_2019;pcost_2019;gva_output_2019;gop_output_2019;r1_2019;r2_2019;r3_2019;r4_2019;e1_2019;e2_2019;int_burden_2019;apps_2019;accp_2019;fixemp_2019;intang_2019;liquid_2019;gva_2019_s;gva_2020_s;output_2019_s;output_2020_s;gop_2019_s;gop_2020_s
727452ed22b7113f3122dbfb9b1fac1d35b49cc4ace98a8f376a0852d01df45f;-1;-1;-1;-1;-1;-1;-1;-1;2;3;4;3;-22.5;0;;;;;;;;;;;6;2;915.45925;Agricultura;6;2022T1;1;1;1;2;2;1;1;1;2;1;3;3;1;2;0;2;2;;;;;;;3;2;3;3;1;S;S;;2;2;1983;32721.52;43.439999;7.0799999;1.16;1.63;0.69;-0.47999999;49.5;696.09003;11.35;182.63;67.220001;98.734177;0.62090373;3.541451;S;S;;2;2;1973;35392.859;43.290001;6.46;1.41;1.4299999;1.39;-0.02;48.189999;632.08002;9.0600004;182.62;57.900002;92.85714;0.87315637;0.40117994;De 1000 a 4999;De 1000 a 4999;De 5000 a 9999;De 5000 a 9999;De 500 a 999;De 500 a 999
9dfeffd3c71dd6a28711d14e715433ab770ad3fe4457c67e0b181f0773185ac1;1;1;1;1;1;1;1;1;2;2;1;2;-12.5;0;;;;;;;;;;;6;2;1013.006;Act inmobiliarias;3;2021T2;;1;1;1;1;1;4;4;1;1;4;4;;;;;;;;;;;;2;2;2;2;;S;S;;2;2;1967;57189.66;30.700001;1.25;-1.76;0.80000001;-2.3399999;-2.5599999;18.35;2091.99;16.719999;78.410004;-4.7600002;91.379311;0.7093749;37.725628;S;S;;2;2;1957;57984;28.99;10.6;10.7;1.04;12.39;9.6700001;14.87;109.52;1.13;107.91;9.0699997;85.599998;0.63103443;39.52327;10000 o más;De 5000 a 9999;10000 o más;10000 o más;De 1000 a 4999;De 100 a 499
727452ed22b7113f3122dbfb9b1fac1d35b49cc4ace98a8f376a0852d01df45f;-1;-1;-1;-1;-1;-1;-1;-1;4;4;3;4;-12.5;0;;;;;;;;;;;5;2;1013.006;Act inmobiliarias;3;2021T2;1;1;1;1;1;1;1;2;1;1;4;2;;;;;;;;;;;;4;3;2;2;;S;S;;2;2;1983;32721.52;43.439999;7.0799999;1.16;1.63;0.69;-0.47999999;49.5;696.09003;11.35;182.63;67.220001;98.734177;0.62090373;3.541451;S;S;;2;2;1973;35392.859;43.290001;6.46;1.41;1.4299999;1.39;-0.02;48.189999;632.08002;9.0600004;182.62;57.900002;92.85714;0.87315637;0.40117994;De 1000 a 4999;De 1000 a 4999;De 5000 a 9999;De 5000 a 9999;De 500 a 999;De 500 a 999
727452ed22b7113f3122dbfb9b1fac1d35b49cc4ace98a8f376a0852d01df45f;-1;-1;-1;-1;-1;-1;-1;-1;3;3;3;3;-22.5;0;;;;;;;;;;;5;2;1001.08825;Act inmobiliarias;4;2021T3;;1;1;1;1;1;1;1;1;1;2;2;2;;;;;;;;;;;3;3;2;3;;S;S;;2;2;1983;32721.52;43.439999;7.0799999;1.16;1.63;0.69;-0.47999999;49.5;696.09003;11.35;182.63;67.220001;98.734177;0.62090373;3.541451;S;S;;2;2;1973;35392.859;43.290001;6.46;1.41;1.4299999;1.39;-0.02;48.189999;632.08002;9.0600004;182.62;57.900002;92.85714;0.87315637;0.40117994;De 1000 a 4999;De 1000 a 4999;De 5000 a 9999;De 5000 a 9999;De 500 a 999;De 500 a 999
727452ed22b7113f3122dbfb9b1fac1d35b49cc4ace98a8f376a0852d01df45f;0;0;0;0;0;0;0;0;2;3;4;3;-40;0;;;;;;;;;;;5;2;1072.5945;Act inmobiliarias;5;2021T4;;4;1;1;1;1;1;1;2;1;4;2;2;2;0;1;3;;;;;;;3;2;2;3;1;S;S;;2;2;1983;32721.52;43.439999;7.0799999;1.16;1.63;0.69;-0.47999999;49.5;696.09003;11.35;182.63;67.220001;98.734177;0.62090373;3.541451;S;S;;2;2;1973;35392.859;43.290001;6.46;1.41;1.4299999;1.39;-0.02;48.189999;632.08002;9.0600004;182.62;57.900002;92.85714;0.87315637;0.40117994;De 1000 a 4999;De 1000 a 4999;De 5000 a 9999;De 5000 a 9999;De 500 a 999;De 500 a 999
6d4a5cf91a7dc746d354a85d7b34d0351440ec3577115abd08547f19703e14f1;1;1;1;1;1;1;1;1;3;1;4;3;-2.5;0;;;;;;;;;;;5;2;1016.376;Act inmobiliarias;7;2022T2;;1;1;1;1;1;;;1;;;1;1;0;0;1;3;1;;1;;;;2;2;3;1;1;S;S;;2;2;1988;44920.859;42.34;14.74;8.6400003;0.56999999;9.2299995;8.0699997;6.8200002;46.849998;0.27000001;31.25;83.440002;100;0.29093447;10.962411;S;S;;2;2;1978;48035.969;42.209999;15;9.5600004;3.52;9.6599998;6.04;1.64;9.1599998;0.31999999;34.529999;89.709999;100;0.44073203;6.531229;10000 o más;De 5000 a 9999;10000 o más;10000 o más;De 1000 a 4999;De 1000 a 4999
5ec803fa8304aaccc042ecbd99670d7bc078d7211deba74459ed8d24ef1202f7;0;0;0;0;0;0;0;0;5;3;1;4;7.5;2.5;2;2;2;2;2;2;2;2;2;2;5;2;1187.33715;Act inmobiliarias;1;2020T4;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;2;;S;S;S;1;1;1999;36928.859;13.09;4.2199998;6.52;2.0699999;8.8199997;4.4400001;34.139999;306.60001;6.3600001;23.950001;49.389999;88.775513;0.001016759;1.1325271;S;S;S;1;1;1989;38474.578;10.84;3.8499999;3.97;1.17;6.6100001;2.8;48.459999;671.42999;7.8600001;11.26;47.27;93.706291;0;0.24866652;De 5000 a 9999;10000 o más;10000 o más;10000 o más;De 1000 a 4999;De 1000 a 4999
9dfeffd3c71dd6a28711d14e715433ab770ad3fe4457c67e0b181f0773185ac1;2;2;2;2;2;2;2;2;4;2;1;4;-7.5;0;;;;;;;;;;;5;2;1072.5945;Act inmobiliarias;5;2021T4;;1;1;1;1;1;3;3;1;1;2;4;1;-1;2;2;3;;;;;;;2;2;2;2;2;S;S;;2;2;1967;57189.66;30.700001;1.25;-1.76;0.80000001;-2.3399999;-2.5599999;18.35;2091.99;16.719999;78.410004;-4.7600002;91.379311;0.7093749;37.725628;S;S;;2;2;1957;57984;28.99;10.6;10.7;1.04;12.39;9.6700001;14.87;109.52;1.13;107.91;9.0699997;85.599998;0.63103443;39.52327;10000 o más;De 5000 a 9999;10000 o más;10000 o más;De 1000 a 4999;De 100 a 499
1f2ee8640a603c6d464f976b9d2111f31ecceedb9cc8658a96e1110975df79e1;1;1;1;1;1;1;1;1;3;3;2;3;0;0;2;2;2;2;2;2;2;2;2;2;4;2;2061.07155;Act inmobiliarias;1;2020T4;;;;;;;;;;;;;;;;;;;;;;;;4;3;2;2;;S;S;;2;2;1976;32482.141;6.4299998;0.72000003;-0.92000002;1.48;-3.0799999;-2.4000001;47.299999;2240.6101;33.189999;23.389999;21.02;91.071426;0.36751959;7.3503919;S;S;;2;2;1966;31857.141;6.98;1.21;0.92000002;2.3900001;0.40000001;-1.47;26.48;555.84998;13.3;18.08;27.780001;91.071426;0.095684625;0.37317002;De 1000 a 4999;De 1000 a 4999;10000 o más;10000 o más;De 100 a 499;De 100 a 499
76c3335548936ab6d69073a99abe6b8b87b876f847a1227eb91748b9f9a133cd;2;2;2;2;2;2;2;2;3;3;2;3;0;0;;;;;;;;;;;4;3;1188.83335;Act inmobiliarias;2;2021T1;1;1;1;1;2;1;1;3;1;1;1;2;;;;;;;;;;;;3;3;3;3;;S;S;;1;1;1993;65913.039;50.709999;32.189999;2.73;0;2.77;2.73;1.25;31.780001;0;217.66;226.49001;95.652176;0.038095962;1.1795462;S;S;;1;1;1983;63028.988;54.130001;36.5;3.2;0;3.24;3.2;1.2;26.809999;0;122.22;230.46001;94.202896;0.063471608;0.91889578;10000 o más;10000 o más;10000 o más;10000 o más;De 5000 a 9999;De 5000 a 9999
76c3335548936ab6d69073a99abe6b8b87b876f847a1227eb91748b9f9a133cd;0;0;0;0;0;0;0;0;3;3;2;3;0;0;;;;;;;;;;;4;3;713.3;Act inmobiliarias;4;2021T3;;1;1;1;2;1;1;3;1;1;1;4;1;;;;;;;;;;;3;3;3;3;;S;S;;1;1;1993;65913.039;50.709999;32.189999;2.73;0;2.77;2.73;1.25;31.780001;0;217.66;226.49001;95.652176;0.038095962;1.1795462;S;S;;1;1;1983;63028.988;54.130001;36.5;3.2;0;3.24;3.2;1.2;26.809999;0;122.22;230.46001;94.202896;0.063471608;0.91889578;10000 o más;10000 o más;10000 o más;10000 o más;De 5000 a 9999;De 5000 a 9999
76c3335548936ab6d69073a99abe6b8b87b876f847a1227eb91748b9f9a133cd;-1;-1;-1;-1;-1;-1;-1;-1;3;2;3;3;0;0;;;;;;;;;;;3;3;938.5526;Act inmobiliarias;5;2021T4;1;1;1;1;2;1;1;3;2;1;1;3;1;1;0;1;2;;;;;;;3;3;3;3;2;S;S;;1;1;1993;65913.039;50.709999;32.189999;2.73;0;2.77;2.73;1.25;31.780001;0;217.66;226.49001;95.652176;0.038095962;1.1795462;S;S;;1;1;1983;63028.988;54.130001;36.5;3.2;0;3.24;3.2;1.2;26.809999;0;122.22;230.46001;94.202896;0.063471608;0.91889578;10000 o más;10000 o más;10000 o más;10000 o más;De 5000 a 9999;De 5000 a 9999
6f8635fff1b57692482325ecc8d03afc9e3ab1df019ae3844a88fd78c14a76a1;2;2;2;2;2;2;2;2;4;4;1;4;-7.5;-2.5;;;;;;;;;;;1;3;573.9813;Act inmobiliarias;4;2021T3;;2;2;1;1;2;2;2;1;1;2;3;4;;;;;;;;;;;2;2;2;2;;S;S;;3;3;1993;40555.559;25.49;-0.79000002;-6.9200001;1.15;-34;-8.0699997;77.050003;-5010;-57.5;55.610001;30.84;94.444443;7.9491725;2.0981088;S;S;;3;3;1983;39911.109;24.870001;4.9200001;13.58;1.04;39.369999;12.54;67.290001;321.88;3.3499999;80.43;29.139999;93.333336;7.0335636;24.185587;De 1000 a 4999;De 1000 a 4999;De 5000 a 9999;De 5000 a 9999;De 100 a 499;De -1 a -49
6f8635fff1b57692482325ecc8d03afc9e3ab1df019ae3844a88fd78c14a76a1;-2;-2;-2;-2;-2;-2;-2;-2;4;3;4;4;-40;-40;2;2;2;2;2;2;2;2;2;2;7;3;693.381;Act inmobiliarias;1;2020T4;;;;;;;;;;;;;;;;;;;;;;;;3;2;1;1;;S;S;;3;3;1993;40555.559;25.49;-0.79000002;-6.9200001;1.15;-34;-8.0699997;77.050003;-5010;-57.5;55.610001;30.84;94.444443;7.9491725;2.0981088;S;S;;3;3;1983;39911.109;24.870001;4.9200001;13.58;1.04;39.369999;12.54;67.290001;321.88;3.3499999;80.43;29.139999;93.333336;7.0335636;24.185587;De 1000 a 4999;De 1000 a 4999;De 5000 a 9999;De 5000 a 9999;De 100 a 499;De -1 a -49
d5436b27d8d3af0cdfd097e080fe80954fe0a7a2f92393fb8c63d29579752365;2;2;2;2;2;2;2;2;2;2;4;2;-40;-22.5;1;1;1;1;1;1;1;1;1;1;7;3;677.4185;Act inmobiliarias;1;2020T4;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;;S;S;;3;3;1994;26857.141;37.349998;6.73;1.99;0.73000002;4.9000001;1.26;69.800003;1103.23;8.0600004;32.169998;156.31;85.714287;0.33143941;4.6401515;S;S;;3;3;1984;25869.57;30.290001;6.3600001;3.4000001;0.94999999;8.3599997;2.46;66.879997;733.53998;6.96;21.18;120.28;69.565216;0.4849138;4.6875;De 500 a 999;De 500 a 999;De 1000 a 4999;De 1000 a 4999;De 100 a 499;De 100 a 499
0671a049b18291c33f860668dfff883869ab941660c1fc579003c92c7354daef;-2;-2;-2;-2;-2;-2;-2;-2;3;4;1;3;-12.5;0;;;;;;;;;;;7;3;582.44;Act inmobiliarias;3;2021T2;;1;1;1;3;1;3;2;1;1;2;1;;;;;;;;;;;;4;2;2;2;;S;S;;2;1;1995;65222.219;19.92;2.29;3.6199999;1.5599999;5.0799999;2.0599999;41.48;944.52002;14.76;83.480003;60.630001;100;0;26.164848;S;S;;2;1;1985;72000;18.92;5.1599998;12.94;1.47;18.4;11.47;32.23;206.87;3.04;79.690002;40.669998;100;0;10.677552;De 1000 a 4999;De 1000 a 4999;10000 o más;10000 o más;De 1000 a 4999;De 100 a 499
0671a049b18291c33f860668dfff883869ab941660c1fc579003c92c7354daef;0;0;0;0;0;0;0;0;3;3;1;3;-7.5;0;;;;;;;;;;;7;3;573.9813;Act inmobiliarias;4;2021T3;1;1;1;1;2;3;2;2;1;1;2;2;2;;;;;;;;;;;3;2;3;3;;S;S;;2;1;1995;65222.219;19.92;2.29;3.6199999;1.5599999;5.0799999;2.0599999;41.48;944.52002;14.76;83.480003;60.630001;100;0;26.164848;S;S;;2;1;1985;72000;18.92;5.1599998;12.94;1.47;18.4;11.47;32.23;206.87;3.04;79.690002;40.669998;100;0;10.677552;De 1000 a 4999;De 1000 a 4999;10000 o más;10000 o más;De 1000 a 4999;De 100 a 499
0671a049b18291c33f860668dfff883869ab941660c1fc579003c92c7354daef;1;1;1;1;1;1;1;1;3;2;1;3;2.5;0;;;;;;;;;;;6;3;587.3864;Act inmobiliarias;5;2021T4;;1;1;1;1;2;2;2;1;1;1;3;2;2;1;0;2;;;;;;;3;2;3;3;2;S;S;;2;1;1995;65222.219;19.92;2.29;3.6199999;1.5599999;5.0799999;2.0599999;41.48;944.52002;14.76;83.480003;60.630001;100;0;26.164848;S;S;;2;1;1985;72000;18.92;5.1599998;12.94;1.47;18.4;11.47;32.23;206.87;3.04;79.690002;40.669998;100;0;10.677552;De 1000 a 4999;De 1000 a 4999;10000 o más;10000 o más;De 1000 a 4999;De 100 a 499
0671a049b18291c33f860668dfff883869ab941660c1fc579003c92c7354daef;-2;-2;-2;-2;-2;-2;-2;-2;3;2;2;3;;2.5;;;;;;;;;;;2;3;467.58139;Act inmobiliarias;6;2022T1;;1;1;1;1;2;2;2;2;1;1;2;2;2;1;1;3;;;;;;;4;2;3;2;2;S;S;;2;1;1995;65222.219;19.92;2.29;3.6199999;1.5599999;5.0799999;2.0599999;41.48;944.52002;14.76;83.480003;60.630001;100;0;26.164848;S;S;;2;1;1985;72000;18.92;5.1599998;12.94;1.47;18.4;11.47;32.23;206.87;3.04;79.690002;40.669998;100;0;10.677552;De 1000 a 4999;De 1000 a 4999;10000 o más;10000 o más;De 1000 a 4999;De 100 a 499
0671a049b18291c33f860668dfff883869ab941660c1fc579003c92c7354daef;0;0;0;0;0;0;0;0;4;4;2;3;-22.5;0;1;1;1;1;1;1;1;1;1;1;2;1;693.381;Act inmobiliarias;1;2020T4;;;;;;;;;;;;;;;;;;;;;;;;4;2;2;2;;S;S;;2;1;1995;65222.219;19.92;2.29;3.6199999;1.5599999;5.0799999;2.0599999;41.48;944.52002;14.76;83.480003;60.630001;100;0;26.164848;S;S;;2;1;1985;72000;18.92;5.1599998;12.94;1.47;18.4;11.47;32.23;206.87;3.04;79.690002;40.669998;100;0;10.677552;De 1000 a 4999;De 1000 a 4999;10000 o más;10000 o más;De 1000 a 4999;De 100 a 499
0671a049b18291c33f860668dfff883869ab941660c1fc579003c92c7354daef;-1;-1;-1;-1;-1;-1;-1;-1;3;3;3;3;-7.5;0;;;;;;;;;;;6;1;592.41755;Comercio;2;2021T1;;1;1;1;1;2;2;3;1;1;2;2;;;;;;;;;;;;4;2;2;3;;S;S;;2;1;1995;65222.219;19.92;2.29;3.6199999;1.5599999;5.0799999;2.0599999;41.48;944.52002;14.76;83.480003;60.630001;100;0;26.164848;S;S;;2;1;1985;72000;18.92;5.1599998;12.94;1.47;18.4;11.47;32.23;206.87;3.04;79.690002;40.669998;100;0;10.677552;De 1000 a 4999;De 1000 a 4999;10000 o más;10000 o más;De 1000 a 4999;De 100 a 499
d12243a4acbfe4711e9b5340c1b8f7f171b9112ed577b03c314c5d8beeb897b2;-1;-1;-1;-1;-1;-1;-1;-1;3;3;3;3;-2.5;0;4;4;4;4;4;4;4;4;4;4;6;1;733.89165;Comercio;1;2020T4;;;;;;;;;;;;;;;;;;;;;;;;3;3;1;2;;S;S;;3;1;1991;35593.75;61.040001;14.72;11.07;0;11.07;11.07;0.079999998;0.55000001;0;22.76;162.64;96.875;7.5075073;61.981983;S;S;;3;1;1981;36090.91;58.509998;16.35;13.66;0;13.68;13.66;0.1;0.64999998;0;14.78;136.22;93.939392;7.6900239;70.843231;De 1000 a 4999;De 1000 a 4999;De 1000 a 4999;De 1000 a 4999;De 100 a 499;De 100 a 499
6f8635fff1b57692482325ecc8d03afc9e3ab1df019ae3844a88fd78c14a76a1;2;2;2;2;2;2;2;2;4;2;1;3;-2.5;2.5;;;;;;;;;;;6;1;492.36484;Comercio;7;2022T2;1;2;3;1;1;1;3;2;2;1;2;2;2;2;2;1;2;1;2;2;3;3;2;2;3;2;2;1;S;S;;3;3;1993;40555.559;25.49;-0.79000002;-6.9200001;1.15;-34;-8.0699997;77.050003;-5010;-57.5;55.610001;30.84;94.444443;7.9491725;2.0981088;S;S;;3;3;1983;39911.109;24.870001;4.9200001;13.58;1.04;39.369999;12.54;67.290001;321.88;3.3499999;80.43;29.139999;93.333336;7.0335636;24.185587;De 1000 a 4999;De 1000 a 4999;De 5000 a 9999;De 5000 a 9999;De 100 a 499;De -1 a -49
